function rat_fun at 2022-06-17 17:51:02.026199 with args (), and kwargs {}
function rat_fun at 2022-06-17 17:52:14.281181 with args (), and kwargs {}
function rat_fun at 2022-06-17 17:53:12.448732 with args (), and kwargs {}
function people_by_number at 2022-06-17 17:53:12.448732 with args (), and kwargs {}
function rat_fun at 2022-06-17 17:58:02.182325 with args (), and kwargs {}
function rat_fun at 2022-06-17 17:58:44.860940 with args (), and kwargs {}
function people_by_number at 2022-06-17 17:58:44.860940 with args (), and kwargs {}
function rat_fun at 2022-06-22 12:18:34.170103 with args (), and kwargs {}
function people_by_number at 2022-06-22 12:18:34.201353 with args (), and kwargs {}
function rat_fun at 2022-06-22 12:24:05.563977 with args (), and kwargs {}
function rat_fun at 2022-06-22 12:25:11.884369 with args (), and kwargs {}
function people_by_number at 2022-06-22 12:25:11.884369 with args (), and kwargs {}
